red,green,blue
392.5695344725987,376.43773939304657,857.9330067766647
104.80710444902769,104.17374410724808,160.68271213906894
12.276848850913376,16.667538302887447,104.212986152033
74.89696891573365,68.07701090159104,164.64693208603418
19.52462065409546,13.12503682969947,130.73937463170301
16.309387890394813,13.077305539186801,146.21311505598115
22.49900559811432,15.821118149675899,157.3878535651149
25.420079552150856,18.16212433706541,173.51948291101945
30.861814967589865,22.712544195639364,183.77762227460224
37.2344026222746,28.845480995875075,193.56966337654686
45.485949469652326,36.00756850324101,200.71893414849734
53.43140468473777,42.92575132586918,208.1582572186211
61.281323659398936,49.19396361225692,214.35586697112552
69.60638258691809,55.4333198291102,219.87444755450795
77.25029463759576,60.54430612846199,225.22893341190337
84.87361888626988,64.91833014142604,230.46125515615793
91.1310769004125,68.49552519151443,235.5400891278727
96.51270624631702,71.46075795521509,240.49918974661168
101.2660761638185,74.34080362404242,245.45138479670007
106.16858794932233,77.37886711844432,250.17626694166177
111.45120064820271,80.79734457866824,254.44692840306422
116.79782336476134,84.59566514437242,258.76366381850323
122.32964422510312,88.1982911019446,262.5441956393636
127.80925898644666,90.73362919858575,265.94005966411316
133.20258176193283,92.48467884502062,268.8516868002357
138.03419637595758,93.35054507955215,271.60339938126106
142.62431865055981,93.34220315262228,274.1387006482027
146.920484678845,92.9495064820271,276.4598740424278
151.0629787860931,92.17499631703005,278.51355332940483
154.83065704183855,91.46924720094285,280.31377062463173
158.51184074837948,90.64822112551562,282.1090343252799
162.079515321155,90.17309958750737,283.7214938126105
165.39753977607543,90.06100839717148,284.97981732469066
168.7091926929876,90.0398129051267,286.2933117265763
172.01064378314672,90.43366971125515,287.192913965822
175.33329036535062,90.9256592516205,288.3056496758986
178.50395919269297,91.69516057748969,289.35761638185033
181.87533146729524,92.35214717147907,290.23385017678254
185.1598408956983,93.29997790218032,291.1881629345905
188.44858573954036,94.50397760754272,292.1053513553329
191.6523276370065,95.65807307012375,293.0951679434296
195.0483758102534,96.82515100176782,293.9462102239246
198.31949764289922,98.42006113730112,295.08759944018857
201.7302224513848,100.00456688273424,296.06310769004125
205.05732542722453,101.90241971125515,297.25281747200944
208.7134649381261,103.81966337654684,298.43112846199176
212.22978049499116,106.04472967000589,299.4393414849735
216.0178808190925,108.4304655274013,300.76128830288746
219.58669711255155,111.00760533294049,302.2326532115498
223.28872642899233,113.86209119033589,303.4626546847378
226.89982321744256,116.83726797289334,304.64157336476137
230.67549351797288,120.05204036535062,306.11159398939304
234.3276738361815,123.422013111373,307.4792464643489
238.15925162050678,127.11568208603418,308.9866492339423
242.0534583087802,130.8379309074838,310.3497348261638
245.9635570123748,134.79576090159105,311.85980774896876
250.2040549499116,139.01605774896876,313.451458456099
254.20840085444902,143.2737919858574,314.8821817913966
258.6462139068945,147.90324837949322,316.38069018856805
263.2007402769593,152.54876252209783,317.79756555686504
267.6423467884502,157.34456025338832,319.18626620506774
272.3197554507955,162.5025412492634,320.6304507955215
277.04587139068946,167.56951605774896,321.9992081614614
281.847985415439,173.07511417206837,323.3694018856806
286.62980627578077,178.52016426045964,324.79027327637004
291.4541838538598,184.18768414849734,325.88115055981143
296.26968547436655,189.99913450206247,327.1988619622864
301.24221051856216,195.98622569239836,328.46712949322335
306.20867707719503,202.12015689451974,329.8121317030053
311.29832056570416,208.3678182086034,330.9009096935769
316.60328889216265,214.79776812021214,332.16403948143784
321.56563052445495,221.22062831467295,333.4215343252799
326.8848335297584,227.88021140247497,334.6956393635828
332.0183964348851,234.6542427813789,335.9465785209193
337.0167943429582,241.69714938126106,337.15601060695343
342.10306791396584,248.9026591043017,338.36544269298764
347.0704368002357,256.1333050972304,339.72755229817324
351.94639437242193,263.4994659693577,341.1442251031232
356.7815814672952,271.4045558338244,342.4191588096641
361.18169932233354,279.182988361815,343.4890431644078
365.88035872127284,287.18446154979375,344.7735894225103
370.2177371832646,295.099790070713,345.8542096346494
374.25546921037125,303.29852312905126,347.1069166175604
378.21738730111963,311.5252651738362,348.3926782557454
382.0116381850324,319.9158257218621,349.60715601060696
385.45401812021214,328.2254714201532,350.7052703299941
388.70217663523863,336.8105111962286,352.02846935769
392.0743959929287,345.39982321744253,353.36435621685325
395.2173320565704,354.054305391868,354.5815777843253
398.08763626988804,362.99397834413674,356.2456725103123
400.92595388921626,371.7380855922216,357.32760017678254
403.5809148497348,380.5716890100177,358.95587802003536
406.2376252209782,389.6144851208014,360.4771471714791
408.4504088096641,398.41971125515613,361.93413008249854
410.4835002946376,407.4691919563936,363.4925419858574
412.62649160282854,416.5124852681202,365.20401812021214
414.696873158515,425.9785835297584,367.0648202710666
416.3194239835003,435.39503535651147,368.998471567472
418.39866308190926,445.0213059811432,370.7242928697702
420.1554029169122,454.7364650854449,372.47876767825574
421.9806644077784,464.4051451090159,374.1034362109605
423.2268157041839,473.75127062463173,375.6442251031232
424.6506334708309,482.56146876841484,376.9652511785504
425.9368554802593,490.94438715380085,378.40256703005304
427.02625957572184,499.2680281378904,379.7792427813789
428.2540696817914,507.0744328226282,380.9005966411314
429.5838612256924,514.7088980553918,382.5209929286977
430.8709119033589,522.3837286387743,383.82146803182087
432.29323806717736,529.2793164407778,385.23224808485566
433.7376436358279,536.7091926929876,386.800346199175
435.2745285798468,543.8160172362993,388.48965085444905
436.9205951679434,550.2251951974072,389.93932307012375
438.72134649381263,557.1113730111962,391.6771324395993
440.29997790218033,563.3898791985857,393.0832719505009
442.0048799351797,569.6730627578079,394.3933043606364
443.7537382144962,575.5724256040071,395.70782999410727
445.5748563641721,581.371390689452,396.827360783736
446.86884944018857,586.7322112551561,397.65109384207426
448.08551856216855,591.2262632586918,398.5248048025928
448.86387743076017,595.4769630229817,399.4306496758986
450.0281747200943,599.198548909841,400.21514068945197
450.80901959340014,602.6258102533883,401.1352939010018
451.9839790807307,605.9272429286978,401.83662345315264
453.37242192103713,609.0527032999411,402.61776296405424
454.66505229817324,611.7987072775486,403.78603786093106
456.52038523865644,614.95972672363,404.8816293459045
458.3229043901002,617.9078889216264,405.9425824985268
460.1407999410725,620.8643378020035,407.13654611078374
461.7907152327637,623.5080472893342,408.37262448438423
463.44503167354156,626.0002209781968,409.5631445197407
465.11069166175605,628.267641426046,410.69153285209194
466.3473040659988,629.9512190630525,411.89748453152623
467.736667648792,631.4467810842664,413.11291985857395
469.1880892751915,632.2699985268121,414.35054507955215
470.5452821154979,632.7689672952268,415.31612772539773
471.92683780200355,632.9170411019446,416.4217000589275
473.1443171773718,632.4725987035946,417.1710555391868
474.11291985857395,631.3634538892163,417.8319092516205
475.0708603417796,630.1566182969947,417.8556459929287
475.34577563347085,627.8097009428403,418.0313604890984
475.29566882734235,625.1327894814378,417.22254345904537
474.97497421921037,621.1890468473778,416.41943503241015
473.9762080141426,616.9407962581025,415.0426119622864
473.20099808485566,611.3373784619918,413.5232027106659
471.85792943429584,604.9809222156747,411.38917943429584
470.10045300530345,597.945897171479,408.7128204183854
468.2498526812021,590.3384096935769,405.7249189746612
465.8330693871538,582.0108463464938,402.2774933706541
463.24489908662343,573.2503314672953,398.13917943429584
460.24309443134945,563.7548799351797,393.9236520329994
457.00151001767824,554.3129972009428,389.380413965822
453.7055281378904,544.4943098114319,384.3996943134944
449.77846935769,534.7779905715969,379.1168606364172
445.8770624631703,524.6033073070124,373.74057159693575
441.61603196817913,514.5909877725397,368.0717626694166
436.81730627578077,504.531802445492,362.0771582203889
432.26007292280497,494.45523350029464,356.3785356511491
427.3288523865645,484.5634575721862,350.24882144961697
422.25631629345907,474.6559185327048,344.6228086328816
417.0608426635239,465.2408294048321,339.21132881555684
412.0090785209193,455.74786387743075,333.7619144077784
406.71633765468476,446.5579515321155,328.5242707719505
401.61413523865644,437.4985268120212,323.11111520329996
395.9471862109605,428.3657189157336,318.21364908662343
390.43055760165,419.6723261638185,313.10641941661754
384.61557159693575,410.8658478196818,308.269096199175
378.59119033588684,402.209376841485,303.38142678255747
372.4509428403064,393.6569865939894,298.7588759575722
366.33853859752503,385.15394814378317,293.93884428403067
359.9091227165586,376.6175419858574,289.1001583677077
353.6917170005893,368.05887227460227,284.4142788744844
347.51064378314675,359.7656526222746,279.89956540954626
341.4339643488509,351.3482800530348,275.5960702710666
335.28793459045374,343.24784546258104,270.95248968768414
329.11767088980554,335.1214643488509,266.79745506776663
323.05482100766056,327.2409214790807,262.5273828815557
317.082222304066,319.2944718621096,258.24320492044785
311.17403874484387,311.4059921921037,253.9265063347083
305.2466116676488,303.700556128462,249.44074101355332
299.2619512374779,296.03603786093106,244.7810842663524
293.36457719505006,288.40236446670593,240.33601576311136
287.2965895698291,280.9803881850324,235.87428182086035
281.60417280494994,273.50394077784324,231.51878314672953
275.6061247790218,266.1269703889216,226.97517678255744
269.86599513847966,258.87693355922215,222.3790144372422
263.9258802298173,251.74119770182676,217.75725545079553
258.2505708603418,244.62755966411314,213.3199580141426
252.31102681202123,237.46957866823806,208.52176635238658
246.51012816735417,230.17692987625222,203.73158515026518
240.7120285798468,222.8784251620507,198.8345978196818
234.74475176782556,215.50526664702417,193.70633839127873
229.01532115497938,208.12940114908662,188.54681054802592
223.03471199175016,200.90367192103713,183.25637153800824
217.00859973482616,193.3911314083677,177.8067913965822
210.9365055981143,186.01699690630525,172.4625073659399
204.76305612846198,178.72762595757217,166.77040365350618
198.60155789628757,171.47810474366528,160.9313126104891
192.35356511490866,164.1678881850324,155.059793017089
186.28942619328225,157.09573880377135,149.15949101355332
180.07218621096052,149.93039186800235,143.11387743076017
173.94934074837948,142.8805060400707,137.14866308190926
167.8446891573365,135.81682748968768,131.08104375368296
161.69466337654686,128.90569755450795,124.85435695344727
155.56982911019446,122.05550235710076,118.71893414849735
149.49837949322333,115.36544269298763,112.71458824395992
143.36820492044785,108.6870764584561,106.67484899823218
137.3870433117266,102.48147466116677,100.59533367707719
131.35851870948733,96.27320271066588,94.71924720094285
125.43245433117266,90.32557454331173,88.86986225692398
119.5576937242192,84.66781452563347,83.27438126104892
113.75204404832057,79.32441440777843,78.00572701826754
108.04093621096052,74.17046626399528,73.020624631703
102.3462360047142,69.48254272245138,68.20331835592222
97.07741602828521,64.9913266057749,63.691293459045376
91.71830804360637,60.791083529758396,59.54756555686506
86.69482911019446,56.8684443134944,55.48917206835592
81.90380082498527,53.19792280494991,51.86925456688273
77.0866602828521,49.73486299351797,48.302629640542136
72.59770919269299,46.50419858573954,45.13210813199764
68.22381408367708,43.44063052445492,42.05609163229228
64.01999852681202,40.633360341779614,39.223611520329996
60.000386711844435,37.923449469652326,36.56021655863288
56.188549646434886,35.412787271655866,33.976392162639954
52.553531968179136,33.07143120212139,31.727055097230405
49.0665696817914,30.831982911019445,29.507347525044196
45.76968547436653,28.738987919858573,27.530476576311138
42.74106879787861,26.821283883323513,25.58944092516205
39.86363803771361,25.004364319387154,23.917832940483205
37.15903064230996,23.34638332351208,22.2726318503241
34.5938052445492,21.72447701826753,20.550198880377135
32.09551782557455,20.238527548615203,19.264032115497937
29.76904095462581,18.836015763111373,17.739300972304065
27.665457424867412,17.54957277548615,16.618112846199175
25.566072480848558,16.301193282262815,15.338225545079553
23.691643341190336,15.176616823806718,14.412179581614614
21.969099882144963,14.14781599882145,13.286682380671774
20.302095609899823,13.222248821449616,12.548449469652327
18.83111741308191,12.402382881555686,11.703981290512669
17.465895698291103,11.60389658220389,10.714183117265764
16.100011048909842,10.846236004714202,10.218436947554508
14.965895698291101,10.166967442545669,9.26324027695934
